round,param,value,loss,wall_s
1,β₂ᵦ dc_mem,2.09524025,34.196248,1247
1,β₂ᵦ dc_mem,3.20475975,46.833929,1278
1,β₂ᵦ dc_mem,1.40951949,37.272901,1295
1,β₂ᵦ dc_mem,2.51903899,36.937824,1323
1,β₂ᵦ dc_mem,1.83331823,34.451356,1345
1,β₂ᵦ dc_mem,2.25711697,35.130234,1371
1,β₂ᵦ dc_mem,1.99519494,34.257813,1394
1,β₂ᵦ dc_mem,2.15707166,34.614825,1419
1,β₂ᵦ dc_mem,2.05702634,34.306947,1443
1,β₂ᵦ dc_mem,2.11885775,34.259232,1468
1,β₂ᵦ dc_mem,2.08064384,34.314866,1491
1,β₂ᵦ dc_mem,2.10426133,34.203840,1515
1,β₂ᵦ dc_mem,2.08966492,34.231086,1538
1,β₂ᵦ dc_mem,2.09696313,34.034035,1562
1,α₀ queueing,14549.15028125,34.497353,1585
1,α₀ queueing,20450.84971875,37.819892,1609
1,α₀ queueing,10901.69943749,37.536446,1632
1,α₀ queueing,16803.39887499,34.747409,1656
1,α₀ queueing,13155.94803123,35.394774,1680
1,α₀ queueing,15410.19662497,34.210088,1703
1,α₀ queueing,15942.35253127,34.196521,1727
1,α₀ queueing,16271.24296868,34.524619,1750
1,α₀ queueing,15739.08706238,34.389171,1774
1,α₀ queueing,16067.97749979,34.440049,1797
1,α₀ queueing,15864.71203090,34.223872,1821
1,α₀ queueing,15990.33699941,34.478905,1845
1,α₀ queueing,15927.52451515,34.201817,1868
1,β₄ tp_ar,1.20770143,34.848016,1891
1,β₄ tp_ar,1.89229857,35.526615,1915
1,β₄ tp_ar,0.78459713,34.116879,1939
1,β₄ tp_ar,0.52310430,34.004357,1963
1,β₄ tp_ar,0.36149284,34.128070,1986
1,β₄ tp_ar,0.62298567,34.127831,2010
1,β₄ tp_ar,0.46137421,34.020617,2033
1,β₄ tp_ar,0.56125559,34.146655,2057
1,β₄ tp_ar,0.49952550,34.033477,2082
1,β₄ tp_ar,0.53767679,34.037045,2106
1,β₄ tp_ar,0.51409800,34.066578,2130
1,β₄ tp_ar,0.52867050,34.141289,2153
1,β₄ tp_ar,0.52138425,34.012672,2176
1,β₁ₐ pf_cmp,0.22188471,40.116263,2200
1,β₁ₐ pf_cmp,0.32811529,69.174527,2224
1,β₁ₐ pf_cmp,0.15623059,34.373427,2247
1,β₁ₐ pf_cmp,0.11565412,34.266353,2271
