gen,job,a0,g1,g2,g3,g7pf,g8,g9,g7dc,a2,loss,wall_s
14,134,5696.6,0.05291,0.21518,0.40890,37.659,490.340,58.189,77.673,12.5794,88.593884,1941
14,135,28425.5,0.04359,0.33017,0.52040,5.687,424.983,29.092,238.238,11.1035,70.212596,1941
14,136,18956.7,0.03002,0.39418,0.41649,19.189,282.581,99.062,331.195,14.7930,64.064815,1941
14,137,9056.5,0.03070,0.34125,0.21113,1.401,443.420,384.066,229.253,9.7984,73.781081,1941
14,138,22704.2,0.03023,0.13488,0.20132,85.672,467.209,94.328,275.091,8.2747,146.573753,1941
14,139,19891.0,0.04653,0.11455,0.25664,6.566,408.343,347.964,127.803,10.7864,77.556375,1941
14,140,20686.4,0.03326,0.17960,0.35944,10.846,476.915,215.800,82.986,10.9403,81.074181,1941
15,141,18200.7,0.04429,0.40698,0.50766,43.932,390.405,156.727,243.343,11.8605,72.698143,2080
15,142,11194.2,0.03762,0.27771,0.55607,22.453,387.500,535.129,139.682,11.5140,79.635921,2080
15,143,8133.6,0.03248,0.21395,0.70541,12.594,478.612,83.055,276.116,10.3289,66.973074,2080
15,144,15123.3,0.03019,0.35219,0.60272,18.179,380.786,338.247,592.765,13.6524,82.381520,2080
15,145,19421.4,0.03377,0.13718,0.20590,20.590,478.401,188.654,290.490,10.9131,60.677624,2080
15,146,14210.9,0.03295,0.22290,0.87496,15.277,384.415,74.261,324.171,14.3428,59.308038,2080
15,147,22849.0,0.03346,0.56412,0.21379,53.748,490.002,88.385,418.949,14.8004,129.763285,2080
15,148,16402.0,0.03989,0.40990,0.43812,50.065,275.853,123.858,103.559,14.9861,102.474205,2080
15,149,24096.3,0.03001,0.12848,0.80803,55.081,483.597,170.248,456.269,12.8048,139.120983,2080
15,150,16333.1,0.03869,0.12460,0.83508,2.178,333.164,362.548,282.584,13.0503,61.749138,2080
16,151,13765.2,0.03027,0.17410,0.54131,15.935,430.682,248.706,519.581,14.3756,80.357447,2227
16,152,5587.8,0.09930,0.37951,0.72556,7.249,257.849,391.381,127.827,12.3362,100.993545,2227
16,153,22057.1,0.03058,0.44586,0.31335,11.708,332.106,164.853,57.021,14.7422,95.975975,2227
16,154,8756.9,0.03358,0.18116,0.51412,38.566,491.219,149.319,414.110,14.7237,80.850766,2227
16,155,23950.3,0.05725,0.21265,0.27793,18.840,439.392,189.024,416.951,13.1955,84.227027,2227
16,156,11540.4,0.06461,0.23279,0.57527,13.690,500.000,265.288,343.698,14.4233,69.683608,2227
16,157,8000.5,0.04153,0.07491,0.63773,6.611,400.985,499.047,552.673,12.8603,77.347586,2227
16,158,15047.4,0.03639,0.09876,0.35750,11.929,424.897,136.701,228.720,14.9600,64.292119,2227
16,159,25458.1,0.04052,0.15020,0.31675,17.600,388.081,127.555,121.702,14.5937,80.072622,2227
16,160,14695.5,0.03156,0.06931,0.63224,15.945,381.578,514.856,453.248,11.1292,65.910177,2227
17,161,8362.4,0.05074,0.28458,0.35491,42.620,447.994,252.841,446.736,14.0138,101.749980,2384
17,162,14014.0,0.03957,0.21466,0.52125,22.353,339.764,130.866,184.340,13.6774,73.309647,2384
17,163,16656.2,0.04184,0.37116,0.91611,19.201,197.706,604.419,293.812,14.3602,66.877272,2384
17,164,12790.4,0.03669,0.16834,0.68296,33.120,473.182,350.886,518.892,11.7771,101.490726,2384
17,165,13296.9,0.05031,0.10788,0.81400,28.098,251.082,582.870,445.441,12.1029,60.429664,2384
17,166,12647.1,0.03384,0.19841,0.46110,55.482,494.141,216.752,486.540,12.5270,136.402057,2384
17,167,13741.7,0.03001,0.05007,0.71856,16.989,494.557,408.695,154.515,13.2265,66.927900,2384
17,168,13172.0,0.06445,0.09679,0.33145,13.231,290.800,699.263,462.330,14.4684,69.025653,2384
17,169,6690.4,0.03001,0.06127,0.41842,7.062,432.905,499.071,402.956,14.9927,70.953864,2384
17,170,5013.4,0.03231,0.11048,0.83151,19.463,427.512,493.090,144.767,13.3705,83.192455,2384
18,171,16700.9,0.03513,0.17487,0.64213,75.632,450.953,280.885,151.666,13.3148,91.431592,2542
18,172,22128.4,0.03004,0.06669,1.10136,28.337,325.501,617.607,88.670,14.1586,74.487852,2542
18,173,15052.0,0.04518,0.05181,0.81853,1.136,463.176,487.379,332.413,10.2909,66.639192,2542
18,174,16152.5,0.04187,0.17634,0.46651,6.404,344.949,464.313,414.935,11.7836,61.124479,2542
18,175,17579.4,0.03577,0.20296,0.65365,17.849,224.814,791.691,511.040,14.9731,65.156245,2542
18,176,20910.6,0.07806,0.22766,0.84173,15.405,326.403,688.705,108.772,12.7531,71.833941,2542
18,177,12202.4,0.15749,0.06928,0.70315,21.149,137.039,630.722,565.212,14.6088,108.552828,2542
18,178,15536.0,0.03327,0.05520,0.99985,0.526,89.969,641.656,366.657,14.9558,73.688156,2542
18,179,9593.2,0.04018,0.12527,0.76128,20.870,253.041,109.743,163.210,12.0975,92.535491,2542
18,180,17262.5,0.03378,0.32725,0.76081,45.024,268.775,680.095,492.014,14.9526,83.618953,2542
19,181,13293.8,0.09829,0.11230,0.90637,43.035,142.668,616.745,175.008,11.5258,95.363210,2683
19,182,22674.5,0.03015,0.07706,0.80727,41.687,498.166,687.938,485.252,8.0072,125.554580,2683
19,183,28806.3,0.08559,0.14048,0.71229,7.481,407.201,534.115,321.970,13.7773,81.708953,2683
19,184,9492.7,0.05509,0.13926,0.84296,39.583,221.042,792.454,304.684,13.5548,72.083619,2683
19,185,19618.1,0.04787,0.11336,0.47629,2.422,208.360,793.011,411.187,11.7715,64.506725,2683
19,186,14761.3,0.03635,0.08854,0.86924,19.165,435.065,474.241,371.024,8.7543,67.789786,2683
19,187,26372.7,0.03065,0.17813,0.76106,4.141,376.394,487.057,243.111,14.9918,68.320516,2683
19,188,9394.3,0.08097,0.23523,1.39728,13.793,48.495,525.854,339.540,13.7262,75.051582,2683
19,189,19072.6,0.06419,0.26615,0.75575,27.844,177.266,794.826,192.922,12.0057,76.800546,2683
19,190,15999.6,0.03007,0.10846,0.76091,47.057,282.065,205.227,396.501,12.8010,88.659449,2683
20,191,13531.5,0.06564,0.36950,0.83297,40.080,337.948,643.352,297.124,14.9393,78.364996,2804
20,192,23073.7,0.07257,0.13471,0.75416,45.964,161.089,751.981,313.655,13.8794,88.068707,2804
20,193,13137.6,0.03646,0.10609,0.65873,4.121,404.374,571.169,250.371,14.5576,64.688672,2804
20,194,20533.9,0.03105,0.07372,0.82321,5.054,204.996,773.340,388.751,12.7520,63.200462,2804
20,195,10883.7,0.03764,0.05521,0.62551,23.131,387.617,525.611,238.924,14.3391,65.668292,2804
20,196,12886.8,0.03002,0.08798,0.30468,1.591,490.122,667.234,228.689,12.4012,64.440640,2804
20,197,12331.6,0.04885,0.09410,0.62641,32.227,164.244,592.819,447.125,11.4824,69.926369,2804
20,198,20918.9,0.03616,0.18327,0.59112,16.283,296.387,581.733,464.277,8.8161,73.658198,2804
20,199,8646.7,0.03040,0.06859,0.52049,23.408,351.715,657.948,365.704,11.1886,63.874500,2804
20,200,18129.9,0.03527,0.07963,0.41280,22.963,273.406,739.118,274.713,9.5379,65.531764,2804
21,201,16689.2,0.03252,0.07131,0.90330,1.235,288.845,768.979,317.647,14.3341,61.910225,2938
21,202,21765.6,0.03377,0.13589,0.84668,29.137,323.780,644.239,300.763,12.7753,65.761473,2938
